iter	Passed	Remaining
0	1	144
1	2	124
2	3	113
3	4	106
4	5	104
5	6	103
6	7	104
7	8	102
8	10	101
9	11	99
10	12	97
11	13	96
12	14	94
13	15	93
14	16	92
15	17	91
16	18	90
17	19	89
18	20	88
19	21	86
20	22	85
21	23	84
22	24	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	39	69
36	40	68
37	41	66
38	42	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	57	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	40
61	63	39
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	92	8
92	94	7
93	94	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
