iter	Passed	Remaining
0	118	118352
1	120	60115
2	121	40483
3	123	30701
4	124	24829
5	125	20858
6	126	18011
7	128	15902
8	129	14234
9	130	12880
10	130	11767
11	131	10857
12	132	10080
13	133	9413
14	134	8852
15	136	8380
16	137	7957
17	138	7562
18	139	7208
19	140	6906
20	142	6632
21	143	6375
22	144	6135
23	145	5916
24	146	5711
25	147	5521
26	148	5369
27	150	5216
28	151	5082
29	152	4944
30	153	4810
31	155	4693
32	156	4581
33	157	4464
34	157	4354
35	158	4254
36	159	4160
37	160	4068
38	161	3987
39	163	3917
40	164	3851
41	166	3792
42	167	3723
43	168	3654
44	169	3593
45	170	3531
46	171	3471
47	172	3416
48	173	3369
49	174	3316
50	175	3270
51	177	3229
52	178	3187
53	179	3149
54	180	3108
55	181	3067
56	183	3032
57	184	2993
58	185	2954
59	186	2917
60	187	2878
61	187	2842
62	188	2804
63	189	2770
64	190	2744
65	192	2720
66	193	2695
67	194	2667
68	195	2639
69	196	2614
70	197	2589
71	198	2561
72	199	2535
73	200	2509
74	201	2485
75	202	2464
76	203	2440
77	204	2422
78	206	2402
79	207	2386
80	208	2368
81	210	2352
82	210	2326
83	211	2306
84	212	2288
85	213	2270
86	214	2251
87	215	2234
88	216	2216
89	217	2198
90	218	2181
91	219	2167
92	220	2154
93	222	2141
94	223	2125
95	224	2109
96	224	2094
97	226	2080
98	227	2066
99	228	2052
100	228	2037
101	230	2025
102	230	2010
103	231	1997
104	232	1983
105	233	1972
106	235	1961
107	236	1952
108	237	1942
109	238	1931
110	239	1918
111	240	1909
112	241	1897
113	242	1885
114	243	1874
115	244	1863
116	245	1850
117	246	1840
118	247	1830
119	248	1821
120	249	1812
121	250	1802
122	251	1794
123	252	1785
124	253	1776
125	254	1767
126	255	1757
127	256	1750
128	257	1741
129	259	1733
130	260	1724
131	260	1715
132	261	1706
133	262	1698
134	264	1692
135	265	1686
136	266	1681
137	267	1673
138	268	1665
139	270	1659
140	271	1652
141	272	1643
142	273	1636
